true theta,v,est a,est z,est t,est shape,est scale,est c
"{'v': 0.9295117297356112, 'a': 1.8125901496897932, 'z': 0.14211363575402283, 't': 1.4113778815664, 'shape': 2.417715298368491, 'scale': 0.634682326580234, 'c': 1.2717860198150843}",1.825,1.791,0.101,1.428,2.025,0.183,0.608
"{'v': -0.71457034262257, 'a': 0.48885592267883066, 'z': 0.7889963719082725, 't': 1.720976728698136, 'shape': 4.901557824382797, 'scale': 0.8349391648667621, 'c': -2.5241736084135606}",-0.586,0.477,0.782,1.72,6.44,0.677,2.916
"{'v': 2.4188090698914957, 'a': 0.8284603536453421, 'z': 0.7190105819312284, 't': 0.15017182004374194, 'shape': 3.4269121439955468, 'scale': 0.20504252400034498, 'c': -0.9715232349905478}",2.258,0.789,0.694,0.148,7.041,0.049,-0.771
"{'v': -2.938015059161322, 'a': 1.8736598871155068, 'z': 0.8800821048046933, 't': 1.3716866015256437, 'shape': 3.4789857160438835, 'scale': 0.3939970933434926, 'c': 2.3833041277526528}",-1.012,1.986,0.759,1.231,7.97,0.637,-2.984
