true theta,v,est a,est z,est t,est shape,est scale,est c
"{'v': 1.016475498990565, 'a': 2.9055701900630306, 'z': 0.12336655832496612, 't': 0.3657300443189261, 'shape': 5.597300961963017, 'scale': 0.3681080256787816, 'c': -0.9753729559720519}",1.036,2.974,0.102,0.376,9.002,0.215,-1.154
"{'v': 0.8731285963079358, 'a': 0.40633087469562235, 'z': 0.7079188305706419, 't': 0.8906668645567931, 'shape': 7.089770019527478, 'scale': 0.9120013165069407, 'c': -0.6857630333414475}",0.044,0.405,0.736,0.892,2.778,0.338,2.131
"{'v': -2.710635971607374, 'a': 0.678063256118652, 'z': 0.41662024136065046, 't': 0.4992715146603281, 'shape': 2.9897958734400163, 'scale': 0.3129771209052404, 'c': -1.3873331360549457}",-2.416,0.621,0.5,0.498,2.005,0.01,-2.284
"{'v': 1.0620383483180742, 'a': 1.8112317955593054, 'z': 0.5641591103840987, 't': 1.485839878595751, 'shape': 6.55699812646232, 'scale': 0.8545934347580734, 'c': 1.2412944466014286}",1.504,2.228,0.327,1.184,3.545,0.172,1.407
