true theta,v,est a,est z,est t,est shape,est scale,est c
"{'v': 2.9481181813778186, 'a': 2.152574520978533, 'z': 0.4934583209462018, 't': 1.1573257355916136, 'shape': 6.202990447066043, 'scale': 0.7432025359064071, 'c': 2.9693776679979837}",2.278,2.991,0.425,0.924,6.536,0.13,2.972
"{'v': -1.4493836439406493, 'a': 1.8764547610481443, 'z': 0.7099801836312162, 't': 0.07847448092211202, 'shape': 2.273740069745376, 'scale': 0.33111293194846647, 'c': -2.8063129593160134}",-2.992,2.916,0.377,0.152,7.402,0.356,-0.039
"{'v': -1.1077289224330724, 'a': 1.3384788252948758, 'z': 0.4688277381321152, 't': 0.4796600718755317, 'shape': 7.954241226499492, 'scale': 0.3815904987797053, 'c': -1.130849689134102}",-1.108,1.288,0.48,0.486,4.875,0.936,-1.476
"{'v': 2.695399201074382, 'a': 0.33064754401449936, 'z': 0.5840700786042271, 't': 0.7775857669755278, 'shape': 9.60602588959871, 'scale': 0.7607429819756855, 'c': -2.035533717203669}",2.994,0.375,0.331,0.761,2.009,0.01,2.987
