true theta,v,est a,est z,est t,est shape,est scale,est c
"{'v': 2.9806091379083526, 'a': 1.4407236003642132, 'z': 0.6069831198116156, 't': 0.13050218819411838, 'shape': 5.689847453765724, 'scale': 0.29014752830016693, 'c': 2.4795564243282557}",2.994,2.994,0.9,0.181,9.95,0.951,1.825
"{'v': -2.1518109569610013, 'a': 1.1767464853398935, 'z': 0.6844188479441075, 't': 1.6939615614143475, 'shape': 8.720714807436478, 'scale': 0.5292733504779659, 'c': -2.935842484381647}",-1.872,1.189,0.672,1.675,7.522,0.766,0.9
"{'v': -2.612567661385456, 'a': 0.7680014549541546, 'z': 0.5338513431532238, 't': 1.9882837779921432, 'shape': 8.471318450813424, 'scale': 0.7044148389982098, 'c': -1.935091011972549}",-2.324,1.854,0.439,1.885,5.907,0.419,-1.931
"{'v': -0.33171674451337285, 'a': 0.4213085282413765, 'z': 0.74509713385665, 't': 1.44004654421651, 'shape': 6.694130334389954, 'scale': 0.4475039577661116, 'c': -0.34183464552776677}",-0.097,0.4,0.737,1.441,9.172,0.263,2.897
