true theta,v,est a,est z,est t,est shape,est scale,est c
"{'v': -0.7844893943334039, 'a': 0.9112533255715869, 'z': 0.10658394997159802, 't': 0.37021825463016583, 'shape': 2.735150082204436, 'scale': 0.3778728383148292, 'c': 1.6942505532824192}",0.086,0.807,0.1,0.372,2.021,0.122,0.297
"{'v': -2.0726032783907353, 'a': 1.4861474912208883, 'z': 0.17479778409541097, 't': 0.9368685474728099, 'shape': 5.868730580377382, 'scale': 0.2646289209927929, 'c': 1.3223205301419858}",-2.994,2.998,0.395,0.667,2.011,0.28,-2.441
"{'v': -1.4402474102295815, 'a': 0.564633770349241, 'z': 0.8844942068862807, 't': 0.3986340322936878, 'shape': 3.309083576219214, 'scale': 0.46362011947540654, 'c': -0.9097438411204308}",-0.517,0.59,0.899,0.401,2.747,0.378,-1.457
"{'v': 2.285563934829044, 'a': 1.0484383320143125, 'z': 0.3678596070734881, 't': 1.034422654305189, 'shape': 7.656511906563338, 'scale': 0.7627898681009553, 'c': -1.379225019624313}",1.185,1.229,0.344,0.99,5.134,0.093,2.971
