true theta,v,est a,est z,est t,est shape,est scale,est c
"{'v': 2.278704568015611, 'a': 1.2550458357167567, 'z': 0.36582649468175554, 't': 0.42188138707459594, 'shape': 3.0083519352812225, 'scale': 0.5493115517166409, 'c': -0.35191932925136893}",1.918,1.192,0.403,0.444,7.528,0.593,2.0
"{'v': 0.0588981019847985, 'a': 0.8923775190433962, 'z': 0.15450386986214, 't': 1.2766371643552614, 'shape': 7.480123238024704, 'scale': 0.8196361741184472, 'c': -0.17793685866812403}",0.001,0.909,0.134,1.28,6.028,0.079,1.067
"{'v': -2.1935722736094982, 'a': 2.552240616019195, 'z': 0.6889614545578507, 't': 0.2622964837003049, 'shape': 2.7502397312163387, 'scale': 0.11491063467841871, 'c': 2.358239321844713}",-0.367,2.985,0.572,0.024,4.103,0.727,-2.344
"{'v': -1.8126914906794314, 'a': 1.8242499619927044, 'z': 0.5004331452996406, 't': 0.6785391529273811, 'shape': 8.68476370832714, 'scale': 0.7700887647357253, 'c': 1.954217656718309}",0.473,2.997,0.101,0.879,2.002,0.984,-2.989
