true theta,v,est a,est z,est t,est shape,est scale,est c
"{'v': 2.307657992233347, 'a': 1.3537873057551748, 'z': 0.5103496717725902, 't': 1.618693466933706, 'shape': 2.9678533185946794, 'scale': 0.4326065561991496, 'c': 0.11509936610306148}",2.267,2.987,0.443,1.244,6.259,0.123,2.958
"{'v': 2.9853199837592426, 'a': 2.4915860255971682, 'z': 0.2251099059451372, 't': 1.451076899994538, 'shape': 3.272558785575889, 'scale': 0.6150612056479071, 'c': 1.700924937498181}",2.5,2.991,0.389,1.511,6.865,0.139,2.987
"{'v': -0.2646500732530246, 'a': 0.6868605314678802, 'z': 0.348466516471581, 't': 0.12891780542217274, 'shape': 7.610358599329677, 'scale': 0.16212443183239658, 'c': -1.2890512808083243}",0.045,0.709,0.337,0.128,5.986,0.431,-0.413
"{'v': 1.462275732312639, 'a': 1.0560693570841833, 'z': 0.27869314912252224, 't': 0.970806607733018, 'shape': 3.149836222572957, 'scale': 0.9315538163704842, 'c': -2.735987278121435}",0.883,1.051,0.344,0.958,8.229,0.308,-2.927
