true theta,v,est a,est z,est t,est shape,est scale,est c
"{'v': 1.1136899766788106, 'a': 2.453815498000395, 'z': 0.49309768933444087, 't': 1.831228088330246, 'shape': 7.8858575003713325, 'scale': 0.5589017060825443, 'c': 0.37477752815940857}",1.133,2.67,0.518,1.772,3.761,0.595,0.166
"{'v': -0.6941809622119743, 'a': 1.0509543756206772, 'z': 0.8092287857140187, 't': 1.795155560847025, 'shape': 2.1222043880797594, 'scale': 0.25038404000762843, 'c': -0.19394410921188365}",-0.494,1.11,0.827,1.796,7.431,0.083,-1.805
"{'v': -1.4923760809582416, 'a': 2.4657824861501165, 'z': 0.1251995406531739, 't': 0.5336038879887267, 'shape': 2.0046442856844315, 'scale': 0.7889973783269552, 'c': 0.7130354806665418}",-1.824,2.996,0.101,0.542,3.925,0.264,1.466
"{'v': 2.2139770086417876, 'a': 1.6661251049032262, 'z': 0.2960886891163139, 't': 1.5379616731706984, 'shape': 5.1011431616928125, 'scale': 0.6645204654184271, 'c': 0.7620807570006631}",0.965,2.254,0.453,1.219,9.951,0.163,2.984
