true theta,v,est a,est z,est t,est shape,est scale,est c
"{'v': -1.2629812918978947, 'a': 0.606633635471526, 'z': 0.19920814695444938, 't': 0.06589091753612268, 'shape': 8.434735579422282, 'scale': 0.5164636164811712, 'c': 2.791639491546599}",-1.262,0.634,0.174,0.068,5.954,0.541,-0.964
"{'v': -0.027432661461228136, 'a': 2.977876025825105, 'z': 0.8587771477353139, 't': 1.2347793690722793, 'shape': 6.771608028040254, 'scale': 0.3017279942131877, 'c': 2.848626826641034}",0.041,2.398,0.715,1.084,7.918,0.399,2.924
"{'v': 1.8366645750957504, 'a': 0.5596615663172689, 'z': 0.5009149857100905, 't': 1.91799939845696, 'shape': 5.71579322868674, 'scale': 0.4423118350815838, 'c': -0.844497677320156}",1.106,0.613,0.478,1.905,3.63,0.162,2.831
"{'v': -1.2934780438622955, 'a': 1.031996701846167, 'z': 0.5112123958608206, 't': 0.23975600066760056, 'shape': 2.45457090342991, 'scale': 0.3229844526954377, 'c': 2.779874927286537}",1.022,0.998,0.388,0.258,9.694,0.251,-2.962
