true theta,v,est a,est z,est t,est shape,est scale,est c
"{'v': -0.9427677336237799, 'a': 1.8368741574739293, 'z': 0.8538224158496924, 't': 0.596855857554122, 'shape': 7.3052669734480995, 'scale': 0.4615807632089152, 'c': -1.68836014874664}",-1.231,2.035,0.899,0.617,4.979,0.993,-2.239
"{'v': -0.3549515673481505, 'a': 1.0214902535566068, 'z': 0.12068476678439088, 't': 0.2442265712232958, 'shape': 4.139040761709737, 'scale': 0.4465367153917225, 'c': -1.6431049782004468}",-0.448,1.079,0.101,0.247,5.611,0.468,-2.496
"{'v': -0.5996022986409995, 'a': 2.1161967467095804, 'z': 0.3865034461116815, 't': 1.0990012592554916, 'shape': 7.4376177899875255, 'scale': 0.2155622124445788, 'c': -2.026501407762569}",0.514,2.997,0.225,1.19,2.004,0.997,-2.948
"{'v': 0.5136971573103706, 'a': 1.5702807226338613, 'z': 0.5488405752222116, 't': 0.29951232712765186, 'shape': 9.544359210633235, 'scale': 0.7991277102284753, 'c': 1.1842963605711008}",1.152,1.59,0.513,0.304,4.989,0.823,-0.328
