true theta,v,est a,est z,est t,est shape,est scale,est c
"{'v': -0.6418061228361758, 'a': 0.9743694010343984, 'z': 0.6656025853693255, 't': 1.0209814650127842, 'shape': 8.159505047933365, 'scale': 0.2746921285975369, 'c': -1.9736747899147158}",-0.038,0.973,0.597,1.019,5.098,0.602,-2.333
"{'v': 1.1803201765586575, 'a': 2.6485248090338875, 'z': 0.40016062868896374, 't': 0.8299124373899056, 'shape': 9.603347180522718, 'scale': 0.3048260767821715, 'c': -1.1011504756796986}",1.031,2.731,0.426,0.727,6.812,0.246,-0.722
"{'v': 1.8466599086207278, 'a': 2.8549497089341864, 'z': 0.5463185375626184, 't': 1.2319814150993105, 'shape': 2.9070755003118247, 'scale': 0.04487569700647787, 'c': 2.909566253089028}",-0.275,2.988,0.752,1.271,5.979,0.474,2.9
"{'v': 1.6984928527219214, 'a': 2.334197265071047, 'z': 0.7875010020172287, 't': 0.6154454335017371, 'shape': 2.352939671601824, 'scale': 0.3827447538129495, 'c': -1.8911587339666938}",-0.186,2.771,0.899,0.678,7.781,0.463,2.866
