true theta,v,est a,est z,est t,est shape,est scale,est c
"{'v': 2.1804440731256944, 'a': 1.921742805321516, 'z': 0.2616903706614986, 't': 1.567371753386282, 'shape': 4.633237433867152, 'scale': 0.647111474182598, 'c': -1.0724165176903273}",1.43,1.937,0.28,1.567,2.438,0.262,0.819
"{'v': 0.8608013923247508, 'a': 0.729799801114317, 'z': 0.39041740127735314, 't': 0.6219252478327224, 'shape': 7.469406457716726, 'scale': 0.8717471018671493, 'c': 2.1512674828497893}",0.811,0.726,0.392,0.619,8.058,0.757,-0.512
"{'v': -1.6057199995192437, 'a': 1.47132951928141, 'z': 0.43152252216352216, 't': 0.2907829884248451, 'shape': 4.345520731050056, 'scale': 0.9412734306792457, 'c': 2.331893052544272}",-1.509,1.391,0.44,0.295,5.963,0.667,2.447
"{'v': 2.7123854566812504, 'a': 2.997697801050009, 'z': 0.6648259425967715, 't': 1.2048869032710856, 'shape': 2.6884040608119335, 'scale': 0.24785410372675393, 'c': 2.2741985049948514}",2.827,2.74,0.573,1.094,4.753,0.32,2.994
