true theta,v,est a,est z,est t,est shape,est scale,est c
"{'v': 0.2475402336662711, 'a': 0.36686885608635783, 'z': 0.8897059268342837, 't': 0.7047790106705609, 'shape': 3.4917081587090024, 'scale': 0.9642881417701152, 'c': -1.2580406233062968}",2.591,0.339,0.615,0.688,3.262,0.153,1.824
"{'v': 1.1197062676968814, 'a': 0.3350145332891347, 'z': 0.6574454489782108, 't': 1.548287248836522, 'shape': 9.340060034919075, 'scale': 0.38309655254597946, 'c': -1.5486645297404011}",2.973,0.39,0.318,1.526,2.006,0.01,2.972
"{'v': -2.6729925350479116, 'a': 1.4417574097682557, 'z': 0.11748032649491309, 't': 1.7392575736195357, 'shape': 9.252015051583129, 'scale': 0.59552452877315, 'c': 2.1668797977349623}",-2.997,2.996,0.381,1.411,2.318,0.327,-2.969
"{'v': 2.1452115170478097, 'a': 2.40432357937328, 'z': 0.2122811186171134, 't': 1.838888681029383, 'shape': 9.089471188474285, 'scale': 0.0733574067154495, 'c': 1.7001753561669872}",1.594,2.809,0.324,1.753,6.986,0.147,2.362
