true theta,v,est a,est z,est t,est shape,est scale,est c
"{'v': 0.44278627125032965, 'a': 1.4008943976018675, 'z': 0.3628491939631837, 't': 0.4797262396352971, 'shape': 7.772686991860762, 'scale': 0.5880401853064842, 'c': 0.6212780289691651}",0.452,1.432,0.391,0.468,7.412,0.824,1.134
"{'v': -0.5094595448605599, 'a': 1.4530163111663021, 'z': 0.5889442712456943, 't': 0.5145590280846487, 'shape': 8.327832940884154, 'scale': 0.28452455856605247, 'c': 2.7970056358609936}",-0.436,1.386,0.569,0.564,9.02,0.258,2.928
"{'v': 2.0354058803140322, 'a': 1.7248818899704952, 'z': 0.4474420820637993, 't': 0.5138784347578916, 'shape': 3.3827277469429173, 'scale': 0.9346459596490019, 'c': 2.409924283890801}",2.071,2.993,0.426,0.263,6.687,0.136,2.959
"{'v': -0.03485351988373164, 'a': 0.7482283816269772, 'z': 0.5234740954949804, 't': 0.9078011440600349, 'shape': 2.8000604050740003, 'scale': 0.8353948689195121, 'c': 0.5481179104112828}",0.154,0.738,0.492,0.909,6.488,0.909,2.419
