true theta,v,est a,est z,est t,est shape,est scale,est c
"{'v': 0.42724221323729195, 'a': 2.7607722031533886, 'z': 0.8938165537721751, 't': 1.650742852346706, 'shape': 6.250406800892173, 'scale': 0.7371161276132507, 'c': 1.5690022932961565}",0.242,2.995,0.9,1.646,9.971,0.011,2.048
"{'v': 1.0170032404714995, 'a': 2.439659988628423, 'z': 0.7328865856010739, 't': 0.13869939226014094, 'shape': 8.783287195855912, 'scale': 0.22496965937324304, 'c': 1.2869135941868253}",1.467,1.948,0.531,0.026,9.76,0.783,0.97
"{'v': 1.0503339997576164, 'a': 2.576479309722674, 'z': 0.5292184632193829, 't': 0.7441937409900511, 'shape': 7.0624430159757665, 'scale': 0.2419556762423065, 'c': 2.7395523720514543}",1.131,2.717,0.557,0.788,9.924,0.152,2.983
"{'v': -2.492339296728942, 'a': 2.3103266694430244, 'z': 0.7264642582465335, 't': 0.9248100172580398, 'shape': 7.190366758270549, 'scale': 0.6342731329834468, 'c': 0.15801918122295433}",0.121,2.996,0.242,1.252,2.004,0.989,-2.847
