true theta,v,est a,est z,est t,est shape,est scale,est c
"{'v': 2.433009175627629, 'a': 1.2411333853920758, 'z': 0.2976605033162696, 't': 0.1688383616975025, 'shape': 2.253037727663914, 'scale': 0.07819936256192261, 'c': -2.4464496389564747}",1.35,1.218,0.259,0.185,6.939,0.485,2.976
"{'v': 2.2930811924909733, 'a': 1.4748113010764037, 'z': 0.6362122186687114, 't': 1.9184071519269492, 'shape': 4.188904397826381, 'scale': 0.17084614247261612, 'c': -1.0076367047037034}",1.501,2.991,0.67,1.716,3.965,0.239,1.329
"{'v': -0.1715391196026239, 'a': 1.4531358874624323, 'z': 0.6462882442425696, 't': 1.90795122353124, 'shape': 3.5068872267465503, 'scale': 0.585958393914516, 'c': 2.0039978796112123}",0.322,1.785,0.631,1.809,9.854,0.193,2.751
"{'v': 2.4710264281779732, 'a': 0.7389365222535887, 'z': 0.3215529810977058, 't': 0.2533761550989884, 'shape': 3.9525141789656955, 'scale': 0.011009460564170178, 'c': -0.8992046437117134}",2.792,0.766,0.273,0.249,8.473,0.161,-2.043
