true theta,v,est a,est z,est t,est shape,est scale,est c
"{'v': -2.1691340992249675, 'a': 2.190534794044223, 'z': 0.7966724529639718, 't': 0.3869980878594797, 'shape': 2.6716515114259964, 'scale': 0.7049478449072334, 'c': 1.805502955784057}",-0.625,2.266,0.678,0.301,9.139,0.731,-2.975
"{'v': -1.9238017503148124, 'a': 0.5090930098214576, 'z': 0.35004863793675356, 't': 0.4248059658836793, 'shape': 5.918918082689632, 'scale': 0.15169167147002985, 'c': 2.6962405039867603}",-2.359,0.503,0.356,0.424,4.63,0.192,2.966
"{'v': -2.1560320870963703, 'a': 1.9083005578080308, 'z': 0.5674410988786021, 't': 1.9345636960048997, 'shape': 2.8906276388196988, 'scale': 0.47722236468764534, 'c': -2.8840089609830493}",-2.994,2.997,0.386,1.994,2.358,0.753,-2.976
"{'v': -0.1934073213478129, 'a': 2.4258727497949915, 'z': 0.14494723153070987, 't': 0.5464319921465531, 'shape': 4.878767089691424, 'scale': 0.693855600438885, 'c': 1.7474253337930676}",-0.299,2.982,0.1,0.556,3.647,0.86,2.178
