true theta,v,est a,est z,est t,est shape,est scale,est c
"{'v': -2.9783882356604057, 'a': 1.818326088577773, 'z': 0.24898334661606764, 't': 0.8393389879997767, 'shape': 7.578790255395303, 'scale': 0.46522985897473296, 'c': -2.660695763222633}",-2.994,2.997,0.363,0.617,2.304,0.749,-2.947
"{'v': -2.1348652112887585, 'a': 0.925820199656963, 'z': 0.4962334425361078, 't': 0.31520037414782864, 'shape': 6.459777445118164, 'scale': 0.6127490774164259, 'c': 2.3009649139371184}",-2.336,0.939,0.558,0.294,9.886,0.314,1.142
"{'v': -0.48960065707846745, 'a': 1.8191554906183132, 'z': 0.7286282601317656, 't': 1.6400897975240811, 'shape': 4.751232807766076, 'scale': 0.18899753110334241, 'c': -2.5937627456294483}",-0.615,1.75,0.75,1.662,7.978,0.168,-2.891
"{'v': -0.7128922011589944, 'a': 1.6046164084890537, 'z': 0.8284912987398987, 't': 1.1647796926814367, 'shape': 4.135841933798774, 'scale': 0.4240821403358537, 'c': 1.1774500982499552}",-2.293,1.812,0.899,1.18,2.004,0.982,2.99
