true theta,v,est a,est z,est t,est shape,est scale,est c
"{'v': 2.820603631928879, 'a': 1.240360580272179, 'z': 0.5373169285033885, 't': 1.8727593943484864, 'shape': 3.6672110866769403, 'scale': 0.8168116914202949, 'c': 2.1849186855939315}",2.646,2.946,0.454,1.446,6.229,0.131,2.99
"{'v': 1.8857935033062114, 'a': 0.6122215583775676, 'z': 0.29061454399007874, 't': 0.2551689338716702, 'shape': 7.284521469021846, 'scale': 0.3845496570674034, 'c': -1.021504215250566}",1.12,0.596,0.318,0.256,2.018,0.364,1.191
"{'v': -1.0758330175741941, 'a': 2.1786716582025827, 'z': 0.10471111932749295, 't': 0.3343677020009977, 'shape': 6.0376661818301764, 'scale': 0.920433122378202, 'c': -1.4634042049471871}",-2.534,2.877,0.108,0.322,4.254,0.353,2.871
"{'v': 0.5365876397199791, 'a': 2.6966178865334407, 'z': 0.12741157679195902, 't': 1.291416445490549, 'shape': 3.3070046541322267, 'scale': 0.2314071628553327, 'c': -2.198045123730085}",0.417,2.544,0.285,0.921,5.013,0.186,-2.986
