true theta,v,est a,est z,est t,est shape,est scale,est c
"{'v': 1.5394142335991479, 'a': 2.9618876669133454, 'z': 0.7739674915690647, 't': 0.4400911444642531, 'shape': 7.111657841410492, 'scale': 0.5243970724058596, 'c': -1.26529556851535}",1.427,2.994,0.695,0.344,7.642,0.465,0.001
"{'v': 0.2365368627576485, 'a': 0.689629326928395, 'z': 0.4578721491285881, 't': 1.0531084554732977, 'shape': 8.233249281858527, 'scale': 0.5755591433547534, 'c': -1.092861540361561}",-0.361,0.677,0.48,1.055,5.586,0.793,2.704
"{'v': -1.3149208503230272, 'a': 1.0511721914184873, 'z': 0.2706791859521538, 't': 1.7493240540940505, 'shape': 5.472167651271941, 'scale': 0.7472891387352635, 'c': -1.1498906677582958}",-2.338,2.998,0.341,1.557,2.004,0.282,-2.402
"{'v': 0.5852266337743095, 'a': 2.602513558243155, 'z': 0.12093210487411482, 't': 1.5117785252429006, 'shape': 5.516410659287179, 'scale': 0.1145016010891177, 'c': -2.296500984533577}",0.587,2.724,0.194,1.324,6.014,0.13,-2.969
