true theta,v,est a,est z,est t,est shape,est scale,est c
"{'v': 2.5404635925682975, 'a': 1.3699313016879544, 'z': 0.898261437404876, 't': 0.021043434768903434, 'shape': 9.250506102554349, 'scale': 0.8484908136892165, 'c': -0.9396554656809855}",2.96,1.361,0.805,0.008,4.82,0.786,-0.068
"{'v': -2.2285299222308526, 'a': 2.4049044344587234, 'z': 0.5349590158994122, 't': 0.18917491800899985, 'shape': 2.2520032431230375, 'scale': 0.40081406233778294, 'c': 1.857625494886559}",-0.086,2.992,0.41,0.058,4.223,0.777,-2.513
"{'v': 2.056893066084272, 'a': 2.669015743159017, 'z': 0.5430765715080261, 't': 1.5318108755964033, 'shape': 6.7341106955232295, 'scale': 0.9467856296228763, 'c': -0.8070385918637943}",1.217,2.93,0.537,1.397,8.877,0.091,2.729
"{'v': 2.3983462281457175, 'a': 2.0104373401789504, 'z': 0.2202089529341393, 't': 1.255888415653473, 'shape': 5.641833219079871, 'scale': 0.5777720494774418, 'c': 2.483087276810304}",1.227,2.38,0.424,1.128,9.952,0.163,2.984
