true theta,v,est a,est z,est t,est shape,est scale,est c
"{'v': 0.051210832538749695, 'a': 0.5412764412618846, 'z': 0.4643466831092259, 't': 1.1416631836305653, 'shape': 2.4171535456261353, 'scale': 0.7897099221423035, 'c': 0.58629327868631}",-0.879,0.527,0.501,1.144,4.201,0.348,2.956
"{'v': -2.8810021224648636, 'a': 1.5130478835588925, 'z': 0.6088783294722241, 't': 1.9602172678142196, 'shape': 6.792014032498329, 'scale': 0.4522535181283808, 'c': 0.8533285515302826}",-2.989,2.999,0.465,1.916,2.004,0.331,-2.149
"{'v': 1.5485177409728532, 'a': 2.7380705081391716, 'z': 0.18275230135744547, 't': 1.553827325936615, 'shape': 4.975471857886049, 'scale': 0.9060442398152774, 'c': 1.7360368955206686}",1.197,2.415,0.222,1.612,5.402,0.968,2.978
"{'v': 0.42561123027706005, 'a': 0.9873413241414435, 'z': 0.20378005038857153, 't': 0.529294467334308, 'shape': 3.1072185761206876, 'scale': 0.9199389787176601, 'c': -2.625416596612908}",0.035,0.923,0.248,0.523,5.335,0.475,-2.206
