true theta,v,est a,est z,est t,est shape,est scale,est c
"{'v': -2.6046674090759376, 'a': 1.2213562308144559, 'z': 0.8232290775144709, 't': 0.49203477325142014, 'shape': 2.743985248253356, 'scale': 0.2563632524802279, 'c': -0.21562369852649343}",-1.589,1.159,0.768,0.48,3.311,0.459,-1.413
"{'v': -1.5467910219721477, 'a': 2.6904405198569474, 'z': 0.24678480915496126, 't': 1.855221285944867, 'shape': 9.123514565095867, 'scale': 0.2686177917864986, 'c': -2.9198993322668367}",-0.084,2.996,0.162,1.832,3.077,0.739,-2.993
"{'v': 2.2805696235535375, 'a': 2.7266356750972625, 'z': 0.21730724912355176, 't': 1.618274640230068, 'shape': 9.205937681002876, 'scale': 0.5779226936454497, 'c': 1.6517519069611195}",0.652,2.575,0.574,1.913,9.949,0.201,2.97
"{'v': 0.7040894358463685, 'a': 0.5075111288283809, 'z': 0.39272039883191046, 't': 1.6851184054657964, 'shape': 8.22057425468677, 'scale': 0.554542204390415, 'c': 0.8534924098183527}",0.294,0.491,0.365,1.69,4.14,0.233,2.847
