true theta,v,est a,est z,est t,est shape,est scale,est c
"{'v': -1.433448936724556, 'a': 2.530508868244665, 'z': 0.4426797928375651, 't': 1.1831513893988272, 'shape': 6.036500901039437, 'scale': 0.4952111184615709, 'c': -0.35572575132331785}",1.005,2.997,0.104,1.495,2.003,0.998,-2.993
"{'v': 0.2427154902421247, 'a': 0.658117189289764, 'z': 0.7772136687662732, 't': 1.9105088188180142, 'shape': 2.2069660822977815, 'scale': 0.8382608391893756, 'c': 1.415499549849926}",0.984,0.645,0.58,1.885,3.297,0.166,2.324
"{'v': -2.1149434675558973, 'a': 1.4082411356367346, 'z': 0.3944909951058857, 't': 1.6863731394780788, 'shape': 8.130986255203274, 'scale': 0.6368753904929565, 'c': 1.7576876467828821}",-1.873,2.998,0.272,1.649,2.003,0.479,-2.609
"{'v': -1.2967752589993882, 'a': 0.7443956494921408, 'z': 0.31339178031218284, 't': 0.7581334196980495, 'shape': 6.355469228147037, 'scale': 0.640865493199533, 'c': 2.05632427575311}",-1.623,0.779,0.312,0.759,5.964,0.453,0.62
