true theta,v,est a,est z,est t,est shape,est scale,est c
"{'v': 2.1009167009508722, 'a': 2.1346275137023953, 'z': 0.41848075278743724, 't': 0.9850316993007714, 'shape': 6.370815036906473, 'scale': 0.07145244921025144, 'c': 0.9465511435910363}",0.446,2.976,0.59,0.818,6.041,0.416,2.891
"{'v': -0.7032362541806694, 'a': 0.5951269941658913, 'z': 0.8387452600940856, 't': 1.9796139791737217, 'shape': 4.916677012230269, 'scale': 0.21798095164410403, 'c': 1.4599184085022054}",-2.694,0.623,0.899,1.983,2.005,0.397,2.991
"{'v': -2.644880517829015, 'a': 2.16774030582936, 'z': 0.6849891037152236, 't': 1.9935023104130791, 'shape': 8.404887740908919, 'scale': 0.9927721607413508, 'c': -1.2317234293855719}",-0.562,2.987,0.349,1.98,7.204,0.155,-2.993
"{'v': 0.4647803144025717, 'a': 1.455412460751043, 'z': 0.7006333141224754, 't': 1.8486479275348282, 'shape': 2.153193849921207, 'scale': 0.31611999012827513, 'c': -1.3449920746802733}",0.455,1.513,0.602,1.765,5.863,0.155,-1.06
