true theta,est target,est t,est r,est sda,est a,est_ratio
"{'a': 2.787101160400018, 'z': 0.1896144742303304, 't': 0.2122488803685118, 'p_target': 4.79220005910026, 'p_outer': 4.79220005910026, 'p_inner': -4.79220005910026, 'r': 0.025558239185017283, 'sda': 2.145966767441184, 'ratio': 83.96379546753712}",4.205,0.22,0.047,2.263,2.748,"<xarray.DataArray ()> Size: 8B
array(48.19256567)"
"{'a': 0.8399299893320906, 'z': 0.19045365226746186, 't': 1.4577683013425458, 'p_target': 4.1114588996130745, 'p_outer': -4.1114588996130745, 'p_inner': 4.1114588996130745, 'r': 0.020603257951813645, 'sda': 1.4851957001389218, 'ratio': 72.08547811285274}",2.89,1.458,0.016,1.367,0.839,"<xarray.DataArray ()> Size: 8B
array(98.85169245)"
"{'a': 2.543654108537279, 'z': 0.7161659076473289, 't': 0.2302082413595814, 'p_target': 2.9971503944070754, 'p_outer': -2.9971503944070754, 'p_inner': 2.9971503944070754, 'r': 0.0451094075392659, 'sda': 1.7823024624024704, 'ratio': 39.5106599626929}",4.153,0.28,0.026,1.918,2.431,"<xarray.DataArray ()> Size: 8B
array(81.45620477)"
"{'a': 1.8251889258075549, 'z': 0.6158191944024801, 't': 1.2658737835142304, 'p_target': 5.370198037835468, 'p_outer': 5.370198037835468, 'p_inner': 5.370198037835468, 'r': 0.022426927378340025, 'sda': 1.5894025553651439, 'ratio': 70.8702769912294}",5.358,0.027,0.023,1.52,3.0,"<xarray.DataArray ()> Size: 8B
array(66.3361791)"
