true theta,est target,est t,est r,est sda,est a,est_ratio
"{'a': 2.0270414166429953, 'z': 0.6309045944059516, 't': 1.0441289262373887, 'p_target': 2.2655288159816864, 'p_outer': -2.2655288159816864, 'p_inner': -2.2655288159816864, 'r': 0.02779495489859153, 'sda': 2.3220559872908, 'ratio': 83.54235492601813}",3.164,1.065,0.021,2.671,1.937,"<xarray.DataArray ()> Size: 8B
array(144.56545254)"
"{'a': 2.6908551260664044, 'z': 0.1565267475525558, 't': 0.5397896272388113, 'p_target': 3.7728813572440085, 'p_outer': 3.7728813572440085, 'p_inner': -3.7728813572440085, 'r': 0.03196981616578395, 'sda': 2.2623734995544424, 'ratio': 70.76592144986348}",4.285,0.524,0.047,2.184,2.737,"<xarray.DataArray ()> Size: 8B
array(47.36620322)"
"{'a': 1.2179764633782446, 'z': 0.565557110424113, 't': 0.6511532470266981, 'p_target': 2.9511863660497837, 'p_outer': -2.9511863660497837, 'p_inner': 2.9511863660497837, 'r': 0.02252516279713638, 'sda': 2.027824644682175, 'ratio': 90.02486077214822}",3.965,0.642,0.027,2.223,1.221,"<xarray.DataArray ()> Size: 8B
array(89.62625622)"
"{'a': 2.3474896444745355, 'z': 0.8379516530315596, 't': 0.9105580572927605, 'p_target': 3.2439967148675524, 'p_outer': 3.2439967148675524, 'p_inner': -3.2439967148675524, 'r': 0.03767018646873441, 'sda': 2.9671907765728083, 'ratio': 78.76761584484125}",3.634,0.915,0.017,2.703,2.263,"<xarray.DataArray ()> Size: 8B
array(184.29345547)"
