true theta,est target,est t,est r,est sda,est a,est_ratio
"{'a': 0.4874310630226009, 'z': 0.7549511013198331, 't': 0.20964005449675624, 'p_target': 3.8566332992129784, 'p_outer': -3.8566332992129784, 'p_inner': -3.8566332992129784, 'r': 0.04257023302719377, 'sda': 2.8709950255792958, 'ratio': 67.44137443986531}",3.615,0.21,0.03,2.721,0.48,"<xarray.DataArray ()> Size: 8B
array(117.64359266)"
"{'a': 1.2818544264384122, 'z': 0.6048296909416744, 't': 1.6528708628239848, 'p_target': 4.42908610589769, 'p_outer': 4.42908610589769, 'p_inner': -4.42908610589769, 'r': 0.03437223351114631, 'sda': 2.9428830313716787, 'ratio': 85.61803324236564}",5.078,1.582,0.024,2.86,1.556,"<xarray.DataArray ()> Size: 8B
array(136.88369928)"
"{'a': 0.5186600188024991, 'z': 0.3801889490743168, 't': 1.3033030593765937, 'p_target': 4.508232129249874, 'p_outer': 4.508232129249874, 'p_inner': 4.508232129249874, 'r': 0.04518870689806248, 'sda': 1.9197056677920197, 'ratio': 42.481978343007846}",4.019,0.032,0.045,1.909,3.0,"<xarray.DataArray ()> Size: 8B
array(42.35570074)"
"{'a': 0.524169983392737, 'z': 0.7009751045539704, 't': 0.5453203376450654, 'p_target': 3.0996428306142167, 'p_outer': 3.0996428306142167, 'p_inner': 3.0996428306142167, 'r': 0.01939198551770075, 'sda': 2.338298624074444, 'ratio': 120.58067091376877}",2.581,0.545,0.021,1.732,0.521,"<xarray.DataArray ()> Size: 8B
array(92.47835199)"
