true theta,est target,est t,est r,est sda,est a,est_ratio
"{'a': 2.14222428606945, 'z': 0.331211109831935, 't': 1.245074847549414, 'p_target': 2.3230442432821983, 'p_outer': 2.3230442432821983, 'p_inner': -2.3230442432821983, 'r': 0.011246683466754335, 'sda': 2.5592827479944926, 'ratio': 227.5588848534627}",3.203,1.314,0.044,2.256,2.153,"<xarray.DataArray ()> Size: 8B
array(51.98559995)"
"{'a': 2.4275680473735792, 'z': 0.28361158419672716, 't': 1.1749831609365033, 'p_target': 5.450111378082854, 'p_outer': -5.450111378082854, 'p_inner': -5.450111378082854, 'r': 0.035782511136582824, 'sda': 2.369489437526354, 'ratio': 66.21920492058112}",5.332,1.13,0.044,2.255,2.978,"<xarray.DataArray ()> Size: 8B
array(51.86959452)"
"{'a': 0.5340036735335776, 'z': 0.7283473606471569, 't': 0.5306393732117823, 'p_target': 3.381854987235599, 'p_outer': 3.381854987235599, 'p_inner': -3.381854987235599, 'r': 0.016118461902915396, 'sda': 2.584627812248805, 'ratio': 160.35201297844154}",5.146,0.532,0.04,2.082,0.523,"<xarray.DataArray ()> Size: 8B
array(56.29241164)"
"{'a': 2.947875943633094, 'z': 0.5368806636125328, 't': 0.7091546919023834, 'p_target': 3.2604576609202525, 'p_outer': 3.2604576609202525, 'p_inner': -3.2604576609202525, 'r': 0.038421793748268936, 'sda': 1.954413210185228, 'ratio': 50.86730783549851}",3.927,0.728,0.046,1.802,2.923,"<xarray.DataArray ()> Size: 8B
array(39.66958708)"
