true theta,est target,est t,est r,est sda,est a,est_ratio
"{'a': 1.6271878583938, 'z': 0.5182212194181399, 't': 0.28127184417916296, 'p_target': 3.272352018650256, 'p_outer': 3.272352018650256, 'p_inner': 3.272352018650256, 'r': 0.042629922514939654, 'sda': 2.01646204569731, 'ratio': 47.30156488064554}",4.553,0.141,0.049,1.023,2.497,"<xarray.DataArray ()> Size: 8B
array(20.81335527)"
"{'a': 2.283258292441115, 'z': 0.44980433217691596, 't': 0.13553073119762063, 'p_target': 4.470151047862189, 'p_outer': -4.470151047862189, 'p_inner': -4.470151047862189, 'r': 0.029871480620221352, 'sda': 1.5520907833601125, 'ratio': 51.95895051514227}",2.956,0.119,0.015,1.312,2.37,"<xarray.DataArray ()> Size: 8B
array(92.26147319)"
"{'a': 2.662387325611243, 'z': 0.31357855096706366, 't': 1.6165046371240392, 'p_target': 2.085750535463354, 'p_outer': 2.085750535463354, 'p_inner': 2.085750535463354, 'r': 0.04652916362504351, 'sda': 2.232450895364796, 'ratio': 47.979605078549454}",2.066,0.233,0.046,2.103,2.959,"<xarray.DataArray ()> Size: 8B
array(46.7014973)"
"{'a': 2.6168729990957007, 'z': 0.3192735498617115, 't': 1.1395982234973885, 'p_target': 3.8751545919902246, 'p_outer': -3.8751545919902246, 'p_inner': -3.8751545919902246, 'r': 0.03859145126173483, 'sda': 2.339139246742841, 'ratio': 60.61288628091071}",2.473,1.181,0.014,1.517,2.201,"<xarray.DataArray ()> Size: 8B
array(117.65405241)"
