true theta,est target,est t,est r,est sda,est a,est_ratio
"{'a': 2.703551086984135, 'z': 0.7387552431827699, 't': 0.42883102142814716, 'p_target': 5.419127216944791, 'p_outer': 5.419127216944791, 'p_inner': -5.419127216944791, 'r': 0.017927629897547703, 'sda': 1.1322498341187497, 'ratio': 63.156693918231134}",5.439,0.426,0.017,1.11,2.71,"<xarray.DataArray ()> Size: 8B
array(66.21564659)"
"{'a': 0.44136195824649577, 'z': 0.42703170853154204, 't': 0.6644658457747112, 'p_target': 3.668207637032073, 'p_outer': 3.668207637032073, 'p_inner': -3.668207637032073, 'r': 0.04503419604352189, 'sda': 1.2311280675041025, 'ratio': 27.33762730690956}",3.214,0.663,0.029,1.453,0.45,"<xarray.DataArray ()> Size: 8B
array(56.41765632)"
"{'a': 1.9797774657032408, 'z': 0.21788583830641006, 't': 0.1668536068991492, 'p_target': 3.5754220201311018, 'p_outer': 3.5754220201311018, 'p_inner': 3.5754220201311018, 'r': 0.03385924473939688, 'sda': 1.8232756995194017, 'ratio': 53.84868190512034}",3.895,0.195,0.033,2.471,1.941,"<xarray.DataArray ()> Size: 8B
array(86.59767819)"
"{'a': 0.7202497862345736, 'z': 0.7705667014215768, 't': 0.6750955326697722, 'p_target': 4.108254914787613, 'p_outer': 4.108254914787613, 'p_inner': -4.108254914787613, 'r': 0.03270785603246239, 'sda': 2.847311174114636, 'ratio': 87.05282215039388}",5.108,0.675,0.041,2.837,0.741,"<xarray.DataArray ()> Size: 8B
array(72.97491584)"
