true theta,est target,est t,est r,est sda,est a,est_ratio
"{'a': 2.613072153600056, 'z': 0.6159581764661957, 't': 0.8104284030310017, 'p_target': 2.306889166372431, 'p_outer': -2.306889166372431, 'p_inner': -2.306889166372431, 'r': 0.02601168787203862, 'sda': 1.036896788104522, 'ratio': 39.862726063968296}",5.051,0.763,0.047,1.736,2.618,"<xarray.DataArray ()> Size: 8B
array(36.59057613)"
"{'a': 2.6207529657825526, 'z': 0.656259223855961, 't': 0.2655096111327227, 'p_target': 4.092519592847751, 'p_outer': 4.092519592847751, 'p_inner': 4.092519592847751, 'r': 0.03251849659929298, 'sda': 2.220037113069128, 'ratio': 68.26998001861489}",5.154,0.284,0.048,2.705,2.56,"<xarray.DataArray ()> Size: 8B
array(56.2592156)"
"{'a': 1.8383749922480757, 'z': 0.8823984088456792, 't': 1.5223108360319524, 'p_target': 4.5198703222581695, 'p_outer': 4.5198703222581695, 'p_inner': -4.5198703222581695, 'r': 0.03300476168622686, 'sda': 2.5814463224954123, 'ratio': 78.21436031070236}",4.615,1.515,0.015,2.856,2.029,"<xarray.DataArray ()> Size: 8B
array(215.15282822)"
"{'a': 2.924716239796418, 'z': 0.3601296359722984, 't': 1.4616499123540867, 'p_target': 4.023872047326106, 'p_outer': -4.023872047326106, 'p_inner': -4.023872047326106, 'r': 0.012745367250366324, 'sda': 1.697259216365286, 'ratio': 133.1667564397961}",3.018,1.515,0.013,1.343,2.552,"<xarray.DataArray ()> Size: 8B
array(103.87999565)"
