true theta,est target,est t,est r,est sda,est a,est_ratio
"{'a': 0.3319522845005242, 'z': 0.7628952079513845, 't': 1.8737153379298481, 'p_target': 2.7923605842321155, 'p_outer': 2.7923605842321155, 'p_inner': -2.7923605842321155, 'r': 0.03899276168415627, 'sda': 2.4250235049749884, 'ratio': 62.19163250394588}",4.526,1.874,0.043,1.667,0.332,"<xarray.DataArray ()> Size: 8B
array(40.55632937)"
"{'a': 1.0240240932334463, 'z': 0.5736474617459437, 't': 0.583804645541408, 'p_target': 3.5877098991233143, 'p_outer': -3.5877098991233143, 'p_inner': 3.5877098991233143, 'r': 0.036208995463778704, 'sda': 2.584566305515237, 'ratio': 71.37912202233507}",3.176,0.603,0.032,2.486,0.992,"<xarray.DataArray ()> Size: 8B
array(85.19850645)"
"{'a': 0.6029665814066762, 'z': 0.7124210839190561, 't': 1.5997625645913192, 'p_target': 3.8634270796014936, 'p_outer': 3.8634270796014936, 'p_inner': -3.8634270796014936, 'r': 0.010315358846970062, 'sda': 2.3021145393767357, 'ratio': 223.17348078035477}",5.115,1.6,0.035,1.955,0.6,"<xarray.DataArray ()> Size: 8B
array(64.96658675)"
"{'a': 0.33513167262546417, 'z': 0.5577472075270051, 't': 0.2850472198147103, 'p_target': 4.577776614457969, 'p_outer': 4.577776614457969, 'p_inner': -4.577776614457969, 'r': 0.04270313328334336, 'sda': 2.7392311857762044, 'ratio': 64.1459062875056}",2.755,0.286,0.019,2.94,0.336,"<xarray.DataArray ()> Size: 8B
array(182.04178687)"
