true_theta,est_target,est_t,est_r,est_sda,est_a,est_ratio
"{'a': 1.0784802266620945, 'z': 0.7249369942328536, 't': 0.7420961545553133, 'p_target': 3.756043108213526, 'p_outer': -3.756043108213526, 'p_inner': 3.756043108213526, 'r': 0.046765945947798, 'sda': 1.098118735759683, 'ratio': 23.481161633840287}",3.475,0.738,0.049,1.035,1.117,"<xarray.DataArray ()> Size: 8B
array(21.68413824)"
"{'a': 2.0948082852219447, 'z': 0.7467783973254306, 't': 1.1210587203294529, 'p_target': 5.368915011358039, 'p_outer': 5.368915011358039, 'p_inner': -5.368915011358039, 'r': 0.04809267132227609, 'sda': 2.38143824283265, 'ratio': 49.51769526118191}",2.679,1.019,0.049,2.989,2.986,"<xarray.DataArray ()> Size: 8B
array(60.70000762)"
"{'a': 1.24231317534685, 'z': 0.47842023558371705, 't': 1.802660698402035, 'p_target': 2.8661427915348368, 'p_outer': -2.8661427915348368, 'p_inner': -2.8661427915348368, 'r': 0.014207407249399888, 'sda': 1.1039570117046635, 'ratio': 77.70291878916147}",3.164,1.808,0.018,1.164,1.222,"<xarray.DataArray ()> Size: 8B
array(87.62652325)"
"{'a': 1.011632819915833, 'z': 0.6393850149018607, 't': 0.054644349254748675, 'p_target': 3.167722573257218, 'p_outer': 3.167722573257218, 'p_inner': 3.167722573257218, 'r': 0.01965006902825266, 'sda': 2.1956420430751686, 'ratio': 111.73711603344995}",3.509,0.047,0.028,1.96,1.093,"<xarray.DataArray ()> Size: 8B
array(98.98895705)"
