true_theta,est_target,est_t,est_r,est_sda,est_a,est_ratio
"{'a': 1.077378497929292, 'z': 0.15984409044936732, 't': 0.8022850492471856, 'p_target': 2.7287994613405444, 'p_outer': -2.7287994613405444, 'p_inner': -2.7287994613405444, 'r': 0.04832512402346315, 'sda': 2.4183780419100964, 'ratio': 50.04390761078872}",3.239,0.793,0.033,2.748,1.283,"<xarray.DataArray ()> Size: 8B
array(92.82813819)"
"{'a': 1.3427365831576243, 'z': 0.4913192345945332, 't': 1.3306783107767957, 'p_target': 5.009764468127552, 'p_outer': 5.009764468127552, 'p_inner': 5.009764468127552, 'r': 0.026594251787117044, 'sda': 2.8178242802309574, 'ratio': 105.9561405519965}",4.925,0.031,0.026,2.809,3.0,"<xarray.DataArray ()> Size: 8B
array(107.37435215)"
"{'a': 2.187212011233755, 'z': 0.40533516643598977, 't': 1.520818513326525, 'p_target': 4.638578403903377, 'p_outer': -4.638578403903377, 'p_inner': -4.638578403903377, 'r': 0.02885568011969298, 'sda': 2.7940470324764455, 'ratio': 96.82832013963197}",5.049,0.031,0.029,1.923,2.998,"<xarray.DataArray ()> Size: 8B
array(66.88394734)"
"{'a': 1.9842323900593255, 'z': 0.4113942477913002, 't': 1.4028350454453988, 'p_target': 2.607409664642187, 'p_outer': 2.607409664642187, 'p_inner': -2.607409664642187, 'r': 0.02759165849015463, 'sda': 2.8434385393572335, 'ratio': 103.05428143697273}",5.357,1.409,0.037,1.736,1.944,"<xarray.DataArray ()> Size: 8B
array(52.55242635)"
