true_theta,est_target,est_t,est_r,est_sda,est_a,est_ratio
"{'a': 1.0143666843390744, 'z': 0.6616826034780676, 't': 0.8709511964699129, 'p_target': 4.070647259958184, 'p_outer': 4.070647259958184, 'p_inner': -4.070647259958184, 'r': 0.01965833344040252, 'sda': 1.2447054193882567, 'ratio': 63.316934935598}",3.449,0.868,0.036,1.316,1.03,"<xarray.DataArray ()> Size: 8B
array(56.56840958)"
"{'a': 1.4347182388595763, 'z': 0.5117780858187485, 't': 1.6788237179390983, 'p_target': 2.001325902264796, 'p_outer': -2.001325902264796, 'p_inner': 2.001325902264796, 'r': 0.04410847119874488, 'sda': 2.602021867552944, 'ratio': 58.99143173266421}",3.44,1.648,0.012,2.902,1.464,"<xarray.DataArray ()> Size: 8B
array(251.85971398)"
"{'a': 1.9856763849707955, 'z': 0.8094922790285443, 't': 0.6305943475272802, 'p_target': 3.60137240638334, 'p_outer': -3.60137240638334, 'p_inner': 3.60137240638334, 'r': 0.022839436898959974, 'sda': 1.9305729722885892, 'ratio': 84.52804597719748}",3.055,0.626,0.012,1.853,1.971,"<xarray.DataArray ()> Size: 8B
array(158.19385175)"
"{'a': 0.7921343083605257, 'z': 0.18814644946711434, 't': 1.232396995725757, 'p_target': 3.089242047959215, 'p_outer': 3.089242047959215, 'p_inner': 3.089242047959215, 'r': 0.039248407501910686, 'sda': 2.6884640885227733, 'ratio': 68.49867955513594}",2.762,1.233,0.035,2.217,0.779,"<xarray.DataArray ()> Size: 8B
array(70.82987075)"
