true_theta,est_target,est_t,est_r,est_sda,est_a,est_ratio
"{'a': 1.2691047925770784, 'z': 0.43385529985324733, 't': 0.12738885529602795, 'p_target': 4.740788407116115, 'p_outer': 4.740788407116115, 'p_inner': 4.740788407116115, 'r': 0.025158511019341086, 'sda': 1.8021443905589456, 'ratio': 71.63159970689492}",5.164,0.119,0.015,2.914,1.324,"<xarray.DataArray ()> Size: 8B
array(204.34394892)"
"{'a': 2.8573342924318084, 'z': 0.5784739397196501, 't': 0.6968639781747886, 'p_target': 4.607381622685953, 'p_outer': -4.607381622685953, 'p_inner': 4.607381622685953, 'r': 0.03777787523179092, 'sda': 1.9835254328669734, 'ratio': 52.50494954247169}",5.113,0.72,0.04,2.039,2.727,"<xarray.DataArray ()> Size: 8B
array(75.4229162)"
"{'a': 0.5883779852540115, 'z': 0.4101858891754657, 't': 0.5937542172272153, 'p_target': 3.4655037891730083, 'p_outer': 3.4655037891730083, 'p_inner': 3.4655037891730083, 'r': 0.047335885335167194, 'sda': 1.8105223466393778, 'ratio': 38.248409928741495}",4.7,0.595,0.024,2.759,0.601,"<xarray.DataArray ()> Size: 8B
array(131.52672186)"
"{'a': 1.4254743752291303, 'z': 0.6904755098776904, 't': 1.4861607257036378, 'p_target': 2.7556714630479124, 'p_outer': -2.7556714630479124, 'p_inner': 2.7556714630479124, 'r': 0.018538905566060866, 'sda': 1.5285622215141585, 'ratio': 82.45158896070403}",2.343,1.5,0.023,1.445,1.429,"<xarray.DataArray ()> Size: 8B
array(71.70035818)"
