true_theta,est_target,est_t,est_r,est_sda,est_a,est_ratio
"{'a': 2.9088587766771123, 'z': 0.4285042175620407, 't': 1.6488770132076616, 'p_target': 3.129141130200343, 'p_outer': -3.129141130200343, 'p_inner': -3.129141130200343, 'r': 0.025143443108303715, 'sda': 1.8716445709830327, 'ratio': 74.43867424684233}",4.775,1.673,0.018,2.558,2.983,"<xarray.DataArray ()> Size: 8B
array(161.70210103)"
"{'a': 2.38318559976304, 'z': 0.7876655012350201, 't': 1.6876034762501138, 'p_target': 2.5290821942794888, 'p_outer': -2.5290821942794888, 'p_inner': 2.5290821942794888, 'r': 0.011746574730709107, 'sda': 1.0551920288159469, 'ratio': 89.82976339965343}",5.297,1.695,0.013,1.45,2.348,"<xarray.DataArray ()> Size: 8B
array(117.4954203)"
"{'a': 0.4989190165425689, 'z': 0.11679485626693209, 't': 0.9108541818802358, 'p_target': 4.222349093425839, 'p_outer': -4.222349093425839, 'p_inner': 4.222349093425839, 'r': 0.03847349476408042, 'sda': 1.5048158683544293, 'ratio': 39.11305374211427}",5.084,0.911,0.011,1.609,0.487,"<xarray.DataArray ()> Size: 8B
array(146.04617224)"
"{'a': 2.1734642339066967, 'z': 0.8711188228516664, 't': 1.8634030936552841, 'p_target': 3.9718267133746092, 'p_outer': 3.9718267133746092, 'p_inner': 3.9718267133746092, 'r': 0.03982415082347502, 'sda': 2.661923553731744, 'ratio': 66.84194135189514}",5.429,1.858,0.01,1.488,2.376,"<xarray.DataArray ()> Size: 8B
array(142.28444091)"
