true_theta,est_target,est_t,est_r,est_sda,est_a,est_ratio
"{'a': 2.494299190883666, 'z': 0.5794146248224021, 't': 1.0344725143992308, 'p_target': 4.2135082706286955, 'p_outer': -4.2135082706286955, 'p_inner': 4.2135082706286955, 'r': 0.036405194017925864, 'sda': 1.3943319914748962, 'ratio': 38.30035875617993}",4.5,1.029,0.049,1.413,2.565,"<xarray.DataArray ()> Size: 8B
array(28.70018168)"
"{'a': 1.1204561299970142, 'z': 0.8020162446754054, 't': 1.103667689396801, 'p_target': 3.1820033106739807, 'p_outer': 3.1820033106739807, 'p_inner': 3.1820033106739807, 'r': 0.024162705462476737, 'sda': 2.2624410545910214, 'ratio': 93.63359819555221}",4.746,0.92,0.014,1.399,1.898,"<xarray.DataArray ()> Size: 8B
array(101.39485852)"
"{'a': 0.9389855910589944, 'z': 0.6559024680255555, 't': 0.9511592945844565, 'p_target': 4.522900287082338, 'p_outer': 4.522900287082338, 'p_inner': 4.522900287082338, 'r': 0.04753761192630351, 'sda': 1.232813437962855, 'ratio': 25.93343224464153}",2.964,0.275,0.046,1.208,2.674,"<xarray.DataArray ()> Size: 8B
array(26.41928749)"
"{'a': 0.8702200921047893, 'z': 0.7182937075025364, 't': 0.10730069291115939, 'p_target': 3.590909419786521, 'p_outer': -3.590909419786521, 'p_inner': -3.590909419786521, 'r': 0.01649374868048205, 'sda': 2.6094207660706203, 'ratio': 158.20665250941343}",4.045,0.115,0.013,2.798,0.88,"<xarray.DataArray ()> Size: 8B
array(225.55182029)"
