true_theta,est_target,est_t,est_r,est_sda,est_a,est_ratio
"{'a': 0.3365500804455006, 'z': 0.6507030884662205, 't': 0.01177965766262572, 'p_target': 2.2202577815284785, 'p_outer': 2.2202577815284785, 'p_inner': 2.2202577815284785, 'r': 0.03792851036093453, 'sda': 2.132079098807038, 'ratio': 56.213098761796594}",2.325,0.011,0.039,1.578,0.339,"<xarray.DataArray ()> Size: 8B
array(49.19474322)"
"{'a': 0.8918362101384112, 'z': 0.11459344511790066, 't': 0.8279032289805701, 'p_target': 3.622892702912251, 'p_outer': 3.622892702912251, 'p_inner': 3.622892702912251, 'r': 0.018203080457059748, 'sda': 2.5335434611508383, 'ratio': 139.18212728484906}",2.956,0.83,0.039,1.76,0.858,"<xarray.DataArray ()> Size: 8B
array(51.80042491)"
"{'a': 1.567565130545098, 'z': 0.13937533580958822, 't': 1.2613652403641107, 'p_target': 3.1478598079453466, 'p_outer': 3.1478598079453466, 'p_inner': -3.1478598079453466, 'r': 0.013279402892384402, 'sda': 1.7623227032542401, 'ratio': 132.7109899094118}",2.454,1.258,0.012,1.919,1.59,"<xarray.DataArray ()> Size: 8B
array(162.3704518)"
"{'a': 2.529703689630197, 'z': 0.7919785164740308, 't': 0.15547455822077533, 'p_target': 3.4506848027333152, 'p_outer': -3.4506848027333152, 'p_inner': 3.4506848027333152, 'r': 0.04997367626820025, 'sda': 2.4919893997921463, 'ratio': 49.86604120173312}",2.478,0.169,0.046,2.322,2.546,"<xarray.DataArray ()> Size: 8B
array(50.42523187)"
