true_theta,est_target,est_t,est_r,est_sda,est_a,est_ratio
"{'a': 0.7345518762366987, 'z': 0.1917066528512038, 't': 0.23219813927984495, 'p_target': 4.327495241241911, 'p_outer': -4.327495241241911, 'p_inner': 4.327495241241911, 'r': 0.02475671616104514, 'sda': 2.4653970558359815, 'ratio': 99.5849788719273}",4.086,0.232,0.014,2.408,0.74,"<xarray.DataArray ()> Size: 8B
array(187.99180976)"
"{'a': 0.47123887268742426, 'z': 0.10449945525358784, 't': 1.8510620572895102, 'p_target': 5.241919094906558, 'p_outer': 5.241919094906558, 'p_inner': 5.241919094906558, 'r': 0.02370208698828407, 'sda': 2.4933127200990595, 'ratio': 105.19380514177941}",5.212,0.027,0.024,2.563,3.0,"<xarray.DataArray ()> Size: 8B
array(108.4480313)"
"{'a': 2.4220378130947005, 'z': 0.2354131026368106, 't': 1.1905208878482445, 'p_target': 3.7575350279257433, 'p_outer': 3.7575350279257433, 'p_inner': 3.7575350279257433, 'r': 0.04905576490292948, 'sda': 2.3761525388763136, 'ratio': 48.43778388897196}",2.254,0.037,0.049,2.316,3.0,"<xarray.DataArray ()> Size: 8B
array(47.23572159)"
"{'a': 0.5277611413889238, 'z': 0.8207997495280046, 't': 0.543023753957597, 'p_target': 2.255693686289735, 'p_outer': 2.255693686289735, 'p_inner': -2.255693686289735, 'r': 0.04215721917431685, 'sda': 2.7336052682417438, 'ratio': 64.84311161365973}",4.93,0.543,0.018,1.706,0.533,"<xarray.DataArray ()> Size: 8B
array(108.54630844)"
