true_theta,est_target,est_t,est_r,est_sda,est_a,est_ratio
"{'a': 0.8442932938802981, 'z': 0.14416661895589167, 't': 0.48665483258418957, 'p_target': 2.7756428386216756, 'p_outer': -2.7756428386216756, 'p_inner': 2.7756428386216756, 'r': 0.019547649692713588, 'sda': 1.8963010913902005, 'ratio': 97.00916075332827}",4.396,0.487,0.034,2.139,0.837,"<xarray.DataArray ()> Size: 8B
array(75.2683967)"
"{'a': 2.5646016326889627, 'z': 0.12609691402186682, 't': 0.022327633188139125, 'p_target': 5.283789894982448, 'p_outer': 5.283789894982448, 'p_inner': 5.283789894982448, 'r': 0.013333678845251953, 'sda': 2.1238773450260244, 'ratio': 159.28667321864626}",5.403,0.021,0.011,2.129,2.578,"<xarray.DataArray ()> Size: 8B
array(194.43446751)"
"{'a': 0.5746339787009414, 'z': 0.5527240797659045, 't': 0.6582230774864587, 'p_target': 3.6406795114212356, 'p_outer': -3.6406795114212356, 'p_inner': 3.6406795114212356, 'r': 0.049353246668780985, 'sda': 2.358984269814009, 'ratio': 47.79795513040106}",2.535,0.662,0.036,2.222,0.562,"<xarray.DataArray ()> Size: 8B
array(70.36053193)"
"{'a': 2.3147763377777917, 'z': 0.19527001351021084, 't': 0.2448478367691058, 'p_target': 3.9319301168308023, 'p_outer': 3.9319301168308023, 'p_inner': -3.9319301168308023, 'r': 0.021624419554415623, 'sda': 1.9166288129782734, 'ratio': 88.63261315085357}",2.531,0.232,0.011,2.121,2.3,"<xarray.DataArray ()> Size: 8B
array(190.22942731)"
