true_theta,est_target,est_t,est_r,est_sda,est_a,est_ratio
"{'a': 2.372830687897783, 'z': 0.678772160838911, 't': 1.4832218676811904, 'p_target': 4.415741179177349, 'p_outer': -4.415741179177349, 'p_inner': -4.415741179177349, 'r': 0.03385867993782652, 'sda': 2.4726292314633316, 'ratio': 73.0279277279484}",4.17,1.287,0.046,2.918,2.953,"<xarray.DataArray ()> Size: 8B
array(65.03940167)"
"{'a': 0.3468425165102048, 'z': 0.27405022652448063, 't': 0.22307549512960667, 'p_target': 3.396242942895539, 'p_outer': -3.396242942895539, 'p_inner': 3.396242942895539, 'r': 0.034932373344572214, 'sda': 2.8333033388130087, 'ratio': 81.10824050989501}",4.655,0.224,0.015,2.955,0.345,"<xarray.DataArray ()> Size: 8B
array(214.91072868)"
"{'a': 0.9817108481074899, 'z': 0.3713313756856105, 't': 0.6679161924283833, 'p_target': 3.252115382386351, 'p_outer': -3.252115382386351, 'p_inner': -3.252115382386351, 'r': 0.03615804963936997, 'sda': 2.8880598512319544, 'ratio': 79.87321993405718}",3.82,0.675,0.02,2.911,0.955,"<xarray.DataArray ()> Size: 8B
array(171.04305667)"
"{'a': 1.7302057262745212, 'z': 0.62123003475187, 't': 0.31561290770379696, 'p_target': 2.111675287845812, 'p_outer': 2.111675287845812, 'p_inner': 2.111675287845812, 'r': 0.04062907544796749, 'sda': 2.7680827778838135, 'ratio': 68.13058745156087}",2.101,0.35,0.047,1.03,1.564,"<xarray.DataArray ()> Size: 8B
array(22.82167077)"
