true_theta,est_target,est_t,est_r,est_sda,est_a,est_ratio
"{'a': 2.8216532697949543, 'z': 0.27523178396471926, 't': 0.09647699038468933, 'p_target': 4.618159299669276, 'p_outer': -4.618159299669276, 'p_inner': 4.618159299669276, 'r': 0.04367866483673528, 'sda': 1.3415386340390705, 'ratio': 30.71381964292072}",2.027,0.071,0.049,1.05,2.918,"<xarray.DataArray ()> Size: 8B
array(21.21397399)"
"{'a': 2.2488548357797016, 'z': 0.8904000682842268, 't': 0.2899188174980404, 'p_target': 5.298484132461313, 'p_outer': 5.298484132461313, 'p_inner': -5.298484132461313, 'r': 0.022520561395317183, 'sda': 2.606430106372767, 'ratio': 115.7355742878921}",5.357,0.291,0.048,2.597,2.313,"<xarray.DataArray ()> Size: 8B
array(53.92101215)"
"{'a': 0.9433814807181684, 'z': 0.7625614924314971, 't': 1.2061741370810741, 'p_target': 4.015288011257841, 'p_outer': 4.015288011257841, 'p_inner': 4.015288011257841, 'r': 0.02780866079215926, 'sda': 2.865628038381912, 'ratio': 103.04804175215388}",4.393,0.842,0.018,1.906,1.918,"<xarray.DataArray ()> Size: 8B
array(105.70412702)"
"{'a': 1.554528649361196, 'z': 0.15016068483586376, 't': 0.02892240781380098, 'p_target': 3.367320988659066, 'p_outer': -3.367320988659066, 'p_inner': -3.367320988659066, 'r': 0.02043194150462469, 'sda': 1.1828487086683988, 'ratio': 57.89213464616984}",2.94,0.028,0.021,1.162,1.583,"<xarray.DataArray ()> Size: 8B
array(65.71962186)"
