true_theta,est_target,est_t,est_r,est_sda,est_a,est_ratio
"{'a': 2.9835494766772106, 'z': 0.6395131315070413, 't': 1.7198286717388562, 'p_target': 4.779935198500131, 'p_outer': 4.779935198500131, 'p_inner': 4.779935198500131, 'r': 0.0452543829072026, 'sda': 1.0688716557969868, 'ratio': 23.61918530606827}",4.43,1.342,0.011,1.746,2.866,"<xarray.DataArray ()> Size: 8B
array(163.75762264)"
"{'a': 1.2831943486415114, 'z': 0.7799954105285843, 't': 1.0895527596090793, 'p_target': 5.421179915885304, 'p_outer': 5.421179915885304, 'p_inner': 5.421179915885304, 'r': 0.040141479957307734, 'sda': 2.766079116459083, 'ratio': 68.90824950651876}",5.419,0.063,0.039,2.762,3.0,"<xarray.DataArray ()> Size: 8B
array(70.19327)"
"{'a': 2.280635115008151, 'z': 0.7210120881674551, 't': 1.242412302081188, 'p_target': 2.215499237786687, 'p_outer': 2.215499237786687, 'p_inner': -2.215499237786687, 'r': 0.029204389350442977, 'sda': 1.2949004749820219, 'ratio': 44.33924159288681}",2.117,1.241,0.049,1.35,2.26,"<xarray.DataArray ()> Size: 8B
array(27.51030306)"
"{'a': 2.5815784464009495, 'z': 0.3865144006279202, 't': 1.3532904110288764, 'p_target': 3.47354639624374, 'p_outer': 3.47354639624374, 'p_inner': -3.47354639624374, 'r': 0.024522243628873275, 'sda': 1.7881640594676318, 'ratio': 72.92008376273492}",2.104,1.391,0.011,1.979,2.463,"<xarray.DataArray ()> Size: 8B
array(188.29450387)"
