true_theta,est_target,est_t,est_r,est_sda,est_a,est_ratio
"{'a': 0.6725412220857516, 'z': 0.31295073118141004, 't': 1.1928797446077912, 'p_target': 4.213735368814914, 'p_outer': -4.213735368814914, 'p_inner': 4.213735368814914, 'r': 0.044460327459116177, 'sda': 1.8159533446058544, 'ratio': 40.844353795543405}",3.032,1.187,0.045,1.675,0.692,"<xarray.DataArray ()> Size: 8B
array(37.553144)"
"{'a': 1.095654784283003, 'z': 0.5213069302284832, 't': 1.0394307481523375, 'p_target': 5.4853234502446675, 'p_outer': -5.4853234502446675, 'p_inner': 5.4853234502446675, 'r': 0.04406489152518227, 'sda': 2.913985705141419, 'ratio': 66.12941968723854}",5.393,1.046,0.049,2.987,1.136,"<xarray.DataArray ()> Size: 8B
array(60.85378513)"
"{'a': 1.9187413263953599, 'z': 0.6371123713120849, 't': 1.3926292769748894, 'p_target': 4.396216430511764, 'p_outer': 4.396216430511764, 'p_inner': -4.396216430511764, 'r': 0.02729725518612445, 'sda': 1.8280132541974254, 'ratio': 66.96692549244396}",5.129,1.437,0.049,1.724,1.797,"<xarray.DataArray ()> Size: 8B
array(35.43442914)"
"{'a': 2.853899670747585, 'z': 0.812023676262972, 't': 0.8886585774525335, 'p_target': 4.554692896562292, 'p_outer': -4.554692896562292, 'p_inner': -4.554692896562292, 'r': 0.027142938905562283, 'sda': 2.036537861784648, 'ratio': 75.03011626229278}",2.801,0.893,0.011,1.668,2.887,"<xarray.DataArray ()> Size: 8B
array(155.64956859)"
