true_theta,est_target,est_t,est_r,est_sda,est_a,est_ratio
"{'a': 2.9234153962130454, 'z': 0.31902265038921396, 't': 0.8917122504514126, 'p_target': 4.245577778065387, 'p_outer': -4.245577778065387, 'p_inner': 4.245577778065387, 'r': 0.015772161516521492, 'sda': 1.1046484981475275, 'ratio': 70.03786367457609}",3.01,1.001,0.03,1.023,2.538,"<xarray.DataArray ()> Size: 8B
array(58.88719041)"
"{'a': 0.3366065933843057, 'z': 0.5278938055090611, 't': 1.3426817852653086, 'p_target': 3.7898953321180473, 'p_outer': -3.7898953321180473, 'p_inner': 3.7898953321180473, 'r': 0.013856713616622014, 'sda': 2.392957274093545, 'ratio': 172.69298769536812}",4.956,1.342,0.02,2.944,0.339,"<xarray.DataArray ()> Size: 8B
array(160.41642953)"
"{'a': 2.0416296551498925, 'z': 0.3494687581015834, 't': 1.7795515606107994, 'p_target': 4.130928532517234, 'p_outer': -4.130928532517234, 'p_inner': -4.130928532517234, 'r': 0.015196673514761071, 'sda': 2.112505496957647, 'ratio': 139.0110470495859}",3.704,1.644,0.031,2.992,2.987,"<xarray.DataArray ()> Size: 8B
array(99.42944261)"
"{'a': 0.758918098378008, 'z': 0.7485359596737322, 't': 0.10784714841463006, 'p_target': 4.665724818618217, 'p_outer': 4.665724818618217, 'p_inner': 4.665724818618217, 'r': 0.028504371124424235, 'sda': 1.6840668239920995, 'ratio': 59.081002581708994}",4.449,0.108,0.016,1.025,0.795,"<xarray.DataArray ()> Size: 8B
array(70.04578925)"
