true_theta,est_target,est_t,est_r,est_sda,est_a,est_ratio
"{'a': 0.8225613707573078, 'z': 0.6910256727847867, 't': 1.8258530244909232, 'p_target': 3.8358538874176396, 'p_outer': 3.8358538874176396, 'p_inner': 3.8358538874176396, 'r': 0.03680666290926875, 'sda': 1.8137568448300636, 'ratio': 49.277948650251545}",2.905,1.058,0.036,1.055,1.896,"<xarray.DataArray ()> Size: 8B
array(30.47739924)"
"{'a': 2.3501367865272904, 'z': 0.5753235712888668, 't': 0.060250661941500486, 'p_target': 5.302517758216214, 'p_outer': 5.302517758216214, 'p_inner': -5.302517758216214, 'r': 0.03345226152303589, 'sda': 1.632461903952188, 'ratio': 48.79974715096743}",5.368,0.053,0.049,1.693,2.45,"<xarray.DataArray ()> Size: 8B
array(34.4155146)"
"{'a': 2.515036083045403, 'z': 0.5462977813095616, 't': 0.004294101235796844, 'p_target': 4.216007192241783, 'p_outer': 4.216007192241783, 'p_inner': -4.216007192241783, 'r': 0.03838602438900829, 'sda': 1.4589964064042296, 'ratio': 38.00853122007624}",4.313,0.102,0.049,1.459,2.456,"<xarray.DataArray ()> Size: 8B
array(29.63213145)"
"{'a': 2.3539551528411633, 'z': 0.5358770344273931, 't': 0.9114563303788379, 'p_target': 4.4810171779482975, 'p_outer': 4.4810171779482975, 'p_inner': 4.4810171779482975, 'r': 0.017608315128817525, 'sda': 1.4798442307358526, 'ratio': 84.042352712893}",2.293,0.049,0.018,1.266,2.999,"<xarray.DataArray ()> Size: 8B
array(71.25144699)"
