true_theta,est_target,est_t,est_r,est_sda,est_a,est_ratio
"{'a': 2.495678541862214, 'z': 0.8022485708069667, 't': 0.4139884347410466, 'p_target': 2.3777563408173004, 'p_outer': 2.3777563408173004, 'p_inner': 2.3777563408173004, 'r': 0.042668980354347186, 'sda': 1.4235000337342292, 'ratio': 33.361472946217255}",5.126,0.39,0.011,2.152,2.975,"<xarray.DataArray ()> Size: 8B
array(196.65882583)"
"{'a': 0.4270346972837997, 'z': 0.8620680375517848, 't': 0.13661251273007677, 'p_target': 3.5679902727243005, 'p_outer': -3.5679902727243005, 'p_inner': 3.5679902727243005, 'r': 0.03789969545235522, 'sda': 2.02738433141449, 'ratio': 53.49342012426386}",5.357,0.137,0.048,2.308,0.413,"<xarray.DataArray ()> Size: 8B
array(48.43073326)"
"{'a': 2.3753202849622763, 'z': 0.28191516102362635, 't': 1.427813876366619, 'p_target': 2.6260338176730142, 'p_outer': -2.6260338176730142, 'p_inner': 2.6260338176730142, 'r': 0.01739564721851619, 'sda': 2.4219406514295425, 'ratio': 139.2268204227315}",2.449,1.437,0.023,2.407,2.373,"<xarray.DataArray ()> Size: 8B
array(115.57341924)"
"{'a': 2.0616321473190315, 'z': 0.4919950313029474, 't': 0.10084695406240829, 'p_target': 4.5275378621424665, 'p_outer': 4.5275378621424665, 'p_inner': -4.5275378621424665, 'r': 0.038301046543433505, 'sda': 1.8342826610226826, 'ratio': 47.89118905517635}",5.371,0.109,0.049,1.698,2.045,"<xarray.DataArray ()> Size: 8B
array(34.95477498)"
