true_theta,est_target,est_t,est_r,est_sda,est_a,est_ratio
"{'a': 1.686110033349013, 'z': 0.6996604933353241, 't': 1.8588043683085556, 'p_target': 4.7295221597836585, 'p_outer': -4.7295221597836585, 'p_inner': 4.7295221597836585, 'r': 0.02633228920919658, 'sda': 1.9241417949612072, 'ratio': 73.07157306662114}",4.569,1.843,0.011,1.881,1.739,"<xarray.DataArray ()> Size: 8B
array(169.46148152)"
"{'a': 2.571894597701013, 'z': 0.5843933446739523, 't': 0.9894849544784173, 'p_target': 4.4824392763667165, 'p_outer': 4.4824392763667165, 'p_inner': -4.4824392763667165, 'r': 0.01798117900939713, 'sda': 2.7419972873055345, 'ratio': 152.49263053732693}",3.365,0.875,0.049,2.986,2.989,"<xarray.DataArray ()> Size: 8B
array(61.18095287)"
"{'a': 2.385009177859756, 'z': 0.7012582801601459, 't': 0.5313767732775986, 'p_target': 5.176226368935577, 'p_outer': 5.176226368935577, 'p_inner': 5.176226368935577, 'r': 0.010116772921189674, 'sda': 2.470721560502665, 'ratio': 244.22032398569664}",5.285,0.332,0.01,1.727,2.696,"<xarray.DataArray ()> Size: 8B
array(168.61990747)"
"{'a': 1.556138796303293, 'z': 0.6805241224354075, 't': 0.7367690270414318, 'p_target': 3.0575811772544945, 'p_outer': 3.0575811772544945, 'p_inner': -3.0575811772544945, 'r': 0.03289808238496078, 'sda': 2.764252473595505, 'ratio': 84.0247295039656}",5.26,0.74,0.046,2.011,1.513,"<xarray.DataArray ()> Size: 8B
array(44.73340559)"
