true_theta,est_target,est_t,est_r,est_sda,est_a,est_ratio
"{'a': 2.413705809030953, 'z': 0.27674837001181074, 't': 1.8007049758935405, 'p_target': 5.481740026439335, 'p_outer': -5.481740026439335, 'p_inner': 5.481740026439335, 'r': 0.03128100196017086, 'sda': 2.509001445741741, 'ratio': 80.20847442599106}",2.28,1.827,0.011,2.16,2.259,"<xarray.DataArray ()> Size: 8B
array(195.78097926)"
"{'a': 1.1219294090726097, 'z': 0.309690941837114, 't': 1.6607830949832498, 'p_target': 2.5611118417633376, 'p_outer': -2.5611118417633376, 'p_inner': -2.5611118417633376, 'r': 0.0155296725892395, 'sda': 1.9587179564195527, 'ratio': 126.12744699954249}",3.363,1.664,0.034,2.225,1.104,"<xarray.DataArray ()> Size: 8B
array(98.29058766)"
"{'a': 1.0944613236489733, 'z': 0.45128299588666343, 't': 1.3815584345743435, 'p_target': 2.8084937263453655, 'p_outer': 2.8084937263453655, 'p_inner': -2.8084937263453655, 'r': 0.03959101363564606, 'sda': 1.5952280730573984, 'ratio': 40.29268075170278}",3.913,1.391,0.049,1.007,1.074,"<xarray.DataArray ()> Size: 8B
array(20.50468689)"
"{'a': 0.9927953804993106, 'z': 0.5066086023728346, 't': 1.4895485660504026, 'p_target': 3.457543077099698, 'p_outer': 3.457543077099698, 'p_inner': 3.457543077099698, 'r': 0.026454415778114283, 'sda': 2.583343611066942, 'ratio': 97.65264267163066}",2.687,0.42,0.023,2.634,2.523,"<xarray.DataArray ()> Size: 8B
array(122.7153526)"
