true_theta,est_target,est_t,est_r,est_sda,est_a,est_ratio
"{'a': 1.9044731604273302, 'z': 0.23883604796277177, 't': 1.7207405299374678, 'p_target': 4.217119131926474, 'p_outer': -4.217119131926474, 'p_inner': 4.217119131926474, 'r': 0.03266269589871242, 'sda': 2.9627810655159035, 'ratio': 90.70840553711605}",4.371,1.735,0.048,2.989,1.805,"<xarray.DataArray ()> Size: 8B
array(61.8088299)"
"{'a': 1.5000601529420514, 'z': 0.6420063347679816, 't': 1.4570084003662676, 'p_target': 5.468039532789009, 'p_outer': -5.468039532789009, 'p_inner': 5.468039532789009, 'r': 0.04699823425613972, 'sda': 2.9420973888456325, 'ratio': 62.60016861082999}",5.362,1.487,0.049,2.993,1.461,"<xarray.DataArray ()> Size: 8B
array(60.53556713)"
"{'a': 1.576519311115668, 'z': 0.6055217521842806, 't': 0.11262808899524834, 'p_target': 4.447271225009803, 'p_outer': -4.447271225009803, 'p_inner': -4.447271225009803, 'r': 0.02690965016391881, 'sda': 2.439859656470013, 'ratio': 90.66857583089069}",3.994,0.014,0.048,2.984,2.073,"<xarray.DataArray ()> Size: 8B
array(62.42244358)"
"{'a': 2.746177315058311, 'z': 0.5577495500291504, 't': 1.1118059285111357, 'p_target': 3.6123526298677353, 'p_outer': 3.6123526298677353, 'p_inner': -3.6123526298677353, 'r': 0.0384193182612334, 'sda': 2.204403931430437, 'ratio': 57.37748693096325}",5.415,1.157,0.049,1.616,2.607,"<xarray.DataArray ()> Size: 8B
array(33.35000597)"
