true_theta,est_target,est_t,est_r,est_sda,est_a,est_ratio
"{'a': 1.7436481683322398, 'z': 0.730560601643638, 't': 1.8375960647285203, 'p_target': 4.9571625908860595, 'p_outer': 4.9571625908860595, 'p_inner': 4.9571625908860595, 'r': 0.011728359937040196, 'sda': 1.4686836647333636, 'ratio': 125.22498223259723}",4.596,1.364,0.015,1.018,2.291,"<xarray.DataArray ()> Size: 8B
array(82.34936088)"
"{'a': 2.876894613101193, 'z': 0.19459210828517845, 't': 1.755456306736466, 'p_target': 4.81940085839973, 'p_outer': 4.81940085839973, 'p_inner': -4.81940085839973, 'r': 0.01597961489544759, 'sda': 2.039617705620575, 'ratio': 127.63872715115549}",3.276,1.79,0.011,2.19,2.706,"<xarray.DataArray ()> Size: 8B
array(196.671655)"
"{'a': 2.8505432093140777, 'z': 0.4546480770199882, 't': 1.1311392292099223, 'p_target': 3.5955039392913593, 'p_outer': -3.5955039392913593, 'p_inner': 3.5955039392913593, 'r': 0.013259927314256351, 'sda': 2.1233414945656763, 'ratio': 160.13221220924606}",2.552,1.16,0.014,2.011,2.825,"<xarray.DataArray ()> Size: 8B
array(142.23848866)"
"{'a': 2.81717748844794, 'z': 0.1871284886124479, 't': 1.4693791152050033, 'p_target': 2.4563413027736694, 'p_outer': 2.4563413027736694, 'p_inner': 2.4563413027736694, 'r': 0.02443670910304177, 'sda': 1.8047773816196953, 'ratio': 73.85517313356424}",2.111,0.295,0.024,1.634,2.992,"<xarray.DataArray ()> Size: 8B
array(68.14351073)"
