true_theta,est_target,est_t,est_r,est_sda,est_a,est_ratio
"{'a': 0.9058182376053947, 'z': 0.4395432661039046, 't': 1.5183018490091882, 'p_target': 3.8773705520905035, 'p_outer': -3.8773705520905035, 'p_inner': 3.8773705520905035, 'r': 0.027428260434922226, 'sda': 1.2748186979407106, 'ratio': 46.478292014377445}",2.102,1.514,0.048,1.038,0.95,"<xarray.DataArray ()> Size: 8B
array(21.6056756)"
"{'a': 0.7160961271890149, 'z': 0.5549536348133655, 't': 1.1147097622435553, 'p_target': 3.300345271389596, 'p_outer': 3.300345271389596, 'p_inner': -3.300345271389596, 'r': 0.01719006373188388, 'sda': 1.5933660295672714, 'ratio': 92.6911065845509}",4.665,1.11,0.049,1.007,0.733,"<xarray.DataArray ()> Size: 8B
array(20.4999318)"
"{'a': 0.4667115989769457, 'z': 0.6484222727594773, 't': 1.8052608435491249, 'p_target': 2.902377651565868, 'p_outer': 2.902377651565868, 'p_inner': -2.902377651565868, 'r': 0.020550049422094874, 'sda': 1.067303709587735, 'ratio': 51.936795268248744}",2.831,1.81,0.048,1.009,0.449,"<xarray.DataArray ()> Size: 8B
array(21.1105412)"
"{'a': 1.910398560866728, 'z': 0.2552149885574444, 't': 0.09887515380828053, 'p_target': 2.553293716600685, 'p_outer': 2.553293716600685, 'p_inner': 2.553293716600685, 'r': 0.03523664757840254, 'sda': 1.6102935135460734, 'ratio': 45.699396060965356}",2.217,0.149,0.049,1.006,1.773,"<xarray.DataArray ()> Size: 8B
array(20.49278798)"
