a,z,t,p_target,p_outer,p_inner,r,sda,ratio,est target,est t,est r,est sda,est a,est_ratio
2.5462509994595783,0.1953072006161934,0.5192822737500283,3.4084570775338636,[ 3.40845708 -3.40845708],[ 3.40845708 -3.40845708],0.04452176423087158,2.738679620573473,61.513277110309595,4.902,0.602,0.049,1.064,1.13,"<xarray.DataArray ()> Size: 8B
array(21.60573242)"
1.944755759229893,0.6431603881866091,0.7350987569551672,3.478827842001391,[ 3.47882784 -3.47882784],[ 3.47882784 -3.47882784],0.04591983953364861,1.7822139168249818,38.81141430206941,3.308,0.826,0.018,2.567,0.935,"<xarray.DataArray ()> Size: 8B
array(155.43520115)"
1.452721359393326,0.8943411315299986,0.1546773579809292,4.764264032185569,[ 4.76426403 -4.76426403],[ 4.76426403 -4.76426403],0.03682551164764257,2.8866975665284107,78.38852570873122,2.87,0.16,0.017,2.679,0.95,"<xarray.DataArray ()> Size: 8B
array(201.22603508)"
1.6211318023078627,0.7264900396124542,0.0904250475628028,4.9303393480423745,[ 4.93033935 -4.93033935],[ 4.93033935 -4.93033935],0.029981835422079536,2.640995633632504,88.08652293807184,3.241,0.128,0.017,2.548,0.731,"<xarray.DataArray ()> Size: 8B
array(167.92674194)"
