a,z,t,p_target,p_outer,p_inner,r,sda,ratio,est target,est t,est r,est sda,est a,est_ratio
2.383961323840193,0.32551306750925924,0.18154494287751602,3.1812644069248703,[ 3.18126441 -3.18126441],[ 3.18126441 -3.18126441],0.030706745437592622,2.801452475352156,91.2324779272273,2.552,0.305,0.046,1.073,0.959,"<xarray.DataArray ()> Size: 8B
array(24.53553082)"
2.8864920670175507,0.47015725778822604,0.8885800051764413,2.396698166416587,[ 2.39669817 -2.39669817],[ 2.39669817 -2.39669817],0.047770325037919385,1.8024408396918508,37.73139157544144,2.56,1.242,0.023,2.681,1.177,"<xarray.DataArray ()> Size: 8B
array(128.00107021)"
2.504351419636701,0.46841026911681305,0.06910971448305296,4.242850915033013,[ 4.24285092 -4.24285092],[ 4.24285092 -4.24285092],0.021816910100436314,2.981615508519938,136.66534329535094,2.736,0.309,0.034,1.445,0.689,"<xarray.DataArray ()> Size: 8B
array(47.11393971)"
2.6379228062968116,0.25382858211809844,0.6019609473622566,5.468629999352013,[ 5.46863 -5.46863],[ 5.46863 -5.46863],0.012501094262188765,2.363669561543487,189.0770129373972,4.385,0.698,0.049,1.045,0.817,"<xarray.DataArray ()> Size: 8B
array(21.36548588)"
