a,z,t,p_target,p_outer,p_inner,r,sda,ratio,est target,est t,est r,est sda,est a,est_ratio
2.9362105498835853,0.7658921719463974,1.4470526001447301,3.113724247978557,[ 3.11372425 -3.11372425],[ 3.11372425 -3.11372425],0.013772336251482385,2.6214420723634113,190.34113199793916,2.935,1.531,0.016,2.821,1.368,"<xarray.DataArray ()> Size: 8B
array(184.44518164)"
0.8301778393300274,0.224823675205864,1.305161295284792,2.3629759868769513,[ 2.36297599 -2.36297599],[ 2.36297599 -2.36297599],0.03880037472385515,2.239865509025914,57.72793497400955,2.313,1.312,0.037,1.016,0.659,"<xarray.DataArray ()> Size: 8B
array(30.13056639)"
2.502848057028223,0.10539160744765735,0.9866892684028832,2.2761230930079117,[ 2.27612309 -2.27612309],[ 2.27612309 -2.27612309],0.041029808378251736,1.9848218923490895,48.37511971908609,4.639,1.004,0.049,1.05,1.633,"<xarray.DataArray ()> Size: 8B
array(21.50210856)"
2.543683866416166,0.2841356793640313,0.8953927292623721,2.438155077023168,[ 2.43815508 -2.43815508],[ 2.43815508 -2.43815508],0.015262469057863725,1.2603741433233322,82.57996386724506,2.381,1.03,0.025,2.386,1.264,"<xarray.DataArray ()> Size: 8B
array(106.26898001)"
