a,z,t,p_target,p_outer,p_inner,r,sda,ratio,est target,est t,est r,est sda,est a,est_ratio
0.5170467685947819,0.7816422299849027,1.8367668753615234,2.6748682411477147,[ 2.67486824 -2.67486824],[ 2.67486824 -2.67486824],0.032899710413112654,2.9967513243820028,91.08746814949484,3.757,1.838,0.035,2.221,0.447,"<xarray.DataArray ()> Size: 8B
array(72.3761513)"
0.7191758850904731,0.7605560130198805,1.6226834404749637,4.688162801007048,[ 4.6881628 -4.6881628],[ 4.6881628 -4.6881628],0.029557657321894422,2.9885978534299342,101.11078225459269,3.495,1.629,0.031,2.202,0.482,"<xarray.DataArray ()> Size: 8B
array(88.23624644)"
1.256207745925118,0.4941448260447703,0.9725363007044888,2.14462444815151,[ 2.14462445 -2.14462445],[ 2.14462445 -2.14462445],0.03457734243362802,2.3345782156988193,67.51757224199906,3.196,1.04,0.028,2.394,0.795,"<xarray.DataArray ()> Size: 8B
array(95.96245717)"
2.3557056327328283,0.7614611811481206,0.2539970869279737,4.28464605799757,[ 4.28464606 -4.28464606],[ 4.28464606 -4.28464606],0.03620839595683531,2.500530480528033,69.05941051652664,3.239,0.314,0.014,2.72,1.019,"<xarray.DataArray ()> Size: 8B
array(203.7092816)"
