a,z,t,p_target,p_outer,p_inner,r,sda,ratio,est target,est t,est r,est sda,est a,est_ratio
2.8210724803017517,0.38954318090680906,1.4457783608775356,3.2272042390749416,[ 3.22720424 -3.22720424],[ 3.22720424 -3.22720424],0.04927988562794685,1.7771904248797996,36.063201085676766,2.822,1.784,0.024,2.403,0.93,"<xarray.DataArray ()> Size: 8B
array(110.97315375)"
1.5447407374279087,0.36484979665689865,1.114668610411613,4.218018210862885,[ 4.21801821 -4.21801821],[ 4.21801821 -4.21801821],0.04065474442824131,1.1252154809794395,27.677347301137992,2.916,1.183,0.025,2.247,0.784,"<xarray.DataArray ()> Size: 8B
array(100.5735292)"
0.9926945983513711,0.19176088207835493,0.5680205207608862,3.6617577865561683,[ 3.66175779 -3.66175779],[ 3.66175779 -3.66175779],0.03917788727064785,1.0592022926626043,27.03571750425043,2.381,0.575,0.035,1.032,0.703,"<xarray.DataArray ()> Size: 8B
array(33.53692428)"
1.818897585808601,0.6381052351864966,1.6195301336713526,2.56766744985968,[ 2.56766745 -2.56766745],[ 2.56766745 -2.56766745],0.012945688362693466,2.2333224055908736,172.5147665400939,3.206,1.704,0.019,2.621,0.991,"<xarray.DataArray ()> Size: 8B
array(150.38617542)"
