a,z,t,p_target,p_outer,p_inner,r,sda,ratio,est target,est t,est r,est sda,est a,est_ratio
1.0934167840554827,0.36171945162717034,1.5898658194589839,3.8300701256399345,[ 3.83007013 -3.83007013],[ 3.83007013 -3.83007013],0.045220223361731884,1.4605561730504433,32.298738583552755,3.194,1.643,0.03,1.655,0.599,"<xarray.DataArray ()> Size: 8B
array(63.17195985)"
1.6041261524976267,0.4647739447622763,1.9798753373684441,2.8240366953012632,[ 2.8240367 -2.8240367],[ 2.8240367 -2.8240367],0.015896513589953663,2.764727750647026,173.92038417746448,3.204,1.999,0.028,2.307,0.852,"<xarray.DataArray ()> Size: 8B
array(91.9387281)"
2.2430924272374857,0.47737831473504266,0.700504658380159,3.2073748416251653,[ 3.20737484 -3.20737484],[ 3.20737484 -3.20737484],0.04551970264084755,2.776895285228528,61.004249239902855,3.2,0.931,0.029,2.219,0.796,"<xarray.DataArray ()> Size: 8B
array(85.25536356)"
2.243148395959647,0.35278552242383354,1.934093092686895,3.4624645129903957,[ 3.46246451 -3.46246451],[ 3.46246451 -3.46246451],0.02503263691832883,2.8126678774443192,112.36003169066424,2.265,1.999,0.046,1.04,0.922,"<xarray.DataArray ()> Size: 8B
array(23.52662982)"
