a,z,t,p_target,p_outer,p_inner,r,sda,ratio,est target,est t,est r,est sda,est a,est_ratio
2.0684608019347603,0.7605062232910073,1.6099353667299512,4.362611838037985,[ 4.36261184 -4.36261184],[ 4.36261184 -4.36261184],0.026499838106127806,2.49078580837247,93.99249151625958,3.335,1.654,0.014,2.748,0.965,"<xarray.DataArray ()> Size: 8B
array(210.66645016)"
1.9982883930569417,0.8911921459376403,1.3656568244762268,3.596001342192784,[ 3.59600134 -3.59600134],[ 3.59600134 -3.59600134],0.02411740218199139,2.2140785777733694,91.80419023018305,3.308,1.375,0.015,2.757,1.361,"<xarray.DataArray ()> Size: 8B
array(203.57949702)"
1.9073246066748284,0.6774552859334086,1.8250406864414994,4.817784484044049,[ 4.81778448 -4.81778448],[ 4.81778448 -4.81778448],0.019081083735561187,2.0697400325470285,108.47077981685489,3.293,1.893,0.019,2.506,0.792,"<xarray.DataArray ()> Size: 8B
array(152.72744357)"
0.5150319577479876,0.3891038912636907,1.5297642320125562,3.988355706498049,[ 3.98835571 -3.98835571],[ 3.98835571 -3.98835571],0.03883871113558525,1.7815928685054203,45.87157545691749,2.397,1.54,0.04,1.053,0.369,"<xarray.DataArray ()> Size: 8B
array(29.21881284)"
